entryId,title,access
818,Spring BootでJWT認証・認可の設定メモ,92
803,OllamaをOpenAI互換サーバーとして使用し、Spring AIからアクセスする,63
443,誤解しがちなThreadPoolTaskExecutorの設定,45
843,llama.cppでGemma 3 27Bを動かしてSpring AIからアクセスする (MCP連携あり),44
853,Amazon Aurora DSQLにSpring BootでアクセスするTips,40
763,Spring Securityで2要素認証 (2FA) を行う方法,38
770,llama-cpp-pythonを使ってローカルLLMでテキスト生成とOpenAI互換サーバーを立てる,35
377,SpringのBean定義(Java Config)で型が重複する場合のインジェクション方法,34
376,Spring Bootの@ ConfigurationPropertiesで型安全なプロパティ設定,27
816,Spring BootでmTLS(Mutual TLS)の設定メモ,27
757,Spring Securityでログイン時にパスワードハッシュアルゴリズムを変更する方法,26
656,Thymeleafテンプレートを使ってJdbcTemplateで動的なSQLを実行する,22
846,Geminiの無料枠でOpenAI APIを使ってSpring AIからアクセスする (MCP連携あり),20
820,Spring BootでMicrosoft Entra ID(旧Azure AD)とSAML2連携してログインするメモ,18
828,llama-cppのOpenAI互換サーバー機能を使ってSpring AIからアクセスする,18
845,Spring Batch + Spring BootでJob内で利用するデータベースとJobを管理するデータベースを別々にするメモ,18
848,Spring Bootで作ったAPIのUIをClaudeに作らせるTips,17
115,Log4JDBCでSQLログを出力する,16
739,SpringのRestTemplateによるHTTPリクエストのリトライをClientHttpRequestInterceptorで実装する,16
148,ThymeLeafでjavascriptにcontextPathを設定する,15
792,HTTP/3に対応したcurlをHomebrewでインストールするメモ,15
632,SpringのWebClientのHTTP Request/Responseログを出力するメモ,14
746,Docker Desktop for Mac代替のOrbStackがすごい,14
850,Spring gRPC 0.8.0を試す,13
107,過去の各バージョンのFirefoxをダウンロードする方法,12
108,Spring MVCのフォームでコードリストからselect/optionタグを生成する,12
540,自己署名証明書(オレオレ証明書)をMacで信頼させるメモ,12
761,Tanzu Kubernetes GridのPrometheus Packageでremote-write-receiverとagent modeをセットアップして複数のKubernetesクラスタを監視する,12
847,Spring BatchのResourcelessJobRepositoryを使いメタデータを保存しないようにするメモ,12
175,Oracleで特定のOSユーザーが実行中のSQLを出力するSQL,11
408,Spring Batch + Spring Bootで複数DataSourceを扱うときの設定,11
837,OpenTelemetry(OTLP)に対応したLGTM Observability基盤をBitnamiのHelm Chartで構築するメモ,11
745,Spring IntegrationでPollingベースのOutboxパターンを実装する,10
758,JupyterでJava Kernelを使うメモ,10
467,SpringのWebClientのtimeoutとretryについて,9
790,llama-cpp-pythonを使ってLlama 3モデルを使ったOpenAI互換サーバーを起動しSpring AIからアクセスする,9
800,"JJUG CCC 2024 Springで""知名度は高くないけど便利なJavaライブラリ集""について話してきました。",9
827,OpenTelemetry Java Agentを使ってTomcat上のLegacyなServletアプリをTracingするメモ,9
851,SendGrid SDKを使わずSpringのRestClientで直接APIを呼び出してメール送信するメモ,9
852,Tanzu Application Platform 1.12でTanzu Build ServiceのみをEKS上でインストールするメモ,9
265,Spring BootとSpring LoadedでサクサクHot Reloading Java Webアプリ開発 springboot,7
339,SpringのCache Abstractionについて,7
560,Kubernetesハンズオン - 10. RBACによるKubernetes APIアクセス制御,7
756,Tanzu Application Platformでtype=serverのWorkloadに対してIngressを作る,7
782,自宅サーバーにMicroK8sをインストールメモ,7
784,Prometheusをubuntu上にインストールしremote writeを受け付けるメモ,7
802,VMware Tanzu Application Service for VMs 6.0 (Small Footprint版) をAWSにインストールするメモ,7
37,KVMのイメージを別環境にインポート,6
138,Javaのソースコードレビュー観点をまとめてみた,6
276,KeyStoreに保存した秘密鍵を使って Spring Boot アプリに渡すパスワードを暗号化する,6
290,Spring Cloud Configで動的コンフィギュレーション管理,6
327,OpenSSLで作成したRSAの鍵を使ってJavaで暗号化・復号するサンプル,6
352,Javaの全角・半角変換ユーティリティ,6
353,Remove 'jsessionid=xxxx' from URL in Spring Boot App,6
417,はじめてのSpring WebFlux (その1 - Spring WebFluxを試す),6
302,Java8でIteratorからStreamに変換する方法,5
371,Spring Boot + Doma2を使おう,5
442,ExternalDNSを使ってGKEからCloudFlareにIngressのDNSレコードを登録,5
483,Lombokの@Builderの代わりにIntelliJ IDEAのBuilder生成機能を使う,5
505,Spring WebFlux.fnハンズオン - 6. 例外ハンドリングの改善,5
766,"pgvector, PostgresMLに対応したVMware Greenplum® 7をvSphere上のRocky Linux VMにインストールするメモ",5
812,SDKを使わずにSpringのRestTemplate/RestClientを使ってS3 APIにアクセスする,5
819,Spring BootでIAM Identity Center(旧AWS SSO)とSAML2連携してログインするメモ,5
822,Kubernetesのログをfluent-bitでrsyslogに転送するメモ,5
835,Minecraft MOD Server (Forge)をKubernetesにインストールするメモ,5
42,VMWareのイメージファイルをKVMで起動する,4
125,RedHat系Linuxの固定IP設定,4
142,LinuxへWebLogic12cインストールメモ,4
208,【Spring Advent Calendar 2013 6日目 Spring MVC + Bean Validationでフォームの未入力フィールドをnullにする spadc13,4
269,Spring Bootアプリ用起動スクリプト springboot,4
323,Javaユーザー待望のJava標準MVCフレームワーク 「MVC 1.0」(JSR371)の紹介,4
445,Spring Boot 1/2のアプリにKeycloakのOpenID Connectを使ってシングルサインオン,4
517,Kubernetesクラスタ内からcurlを実行するメモ,4
626,Spring Boot 2.4で導入されたConfig TreeでKubernetesのSecretの値をSpring Bootアプリのプロパティに設定,4
752,Spring Bootを使わずEmbedded TomcatでWebMvc.fnを使う,4
772,CRaCに対応したSpring BootアプリのDockerイメージを作るメモ,4
801,VMware Tanzu Operations Manager 3.0とBOSH DirectorをAWSにインストールするメモ,4
826,Macセットアップメモ (Apple M4 Max),4
834,Minecraft Server (Java Edition)をKubernetesにインストールするメモ,4
844,PatroniをサポートしたTanzu for Postgres on Kubernetes 4.0をインストールしてSpring Bootアプリからアクセスするメモ,4
849,kafka-nativeとTestcontainersで瞬時にKafkaにアクセスできるSpring Boot開発環境を作る,4
76,宣教師と人食い人種問題,3
87,Java用各種ロギングライブラリラッパー YALF,3
199,Javaプログラム内でHTTPプロキシの認証を突破するための設定,3
236,Java8のcomputeIfAbsentとラムダを使ってメモ化,3
268,Spring Bootの組み込みTomcatでHTTPS対応 springboot,3
301,Spring MVC + Spring BootでJackson2のdataformatを変更する方法,3
318,JavaCVで画像処理,3
350,JPA 2.1のエンティティグラフについて,3
431,Spring Sessionを使ったLegacy JavaアプリケーションからSpring BootへのMigration,3
434,Cloud Foundryのbuildpackを使ってDockerイメージを作成しKubernetesにデプロイ,3
489,Reactor Testで鍛えるReactor脳トレ,3
547,Cloud Native BuildpacksでGraalVMを使ったSpring Bootのnative imageのDocker image作成する,3
585,Cloud Native Buildpacks Tutorial - 2.1. ┗ gcr.io/paketo-buildpacks/builder:base BuilderでNodeJSアプリのOCIイメージを作成,3
601,kubectlで全Resource一覧を表示するメモ,3
623,Deploymentで管理されたPodを再起動するメモ,3
645,YAVIでValue ObjectのValidation (Records対応),3
695,Spring Framework 6から導入される宣言的HTTP Clientを試す,3
727,Tanzu Application Platformに古いバージョンのSpring Bootを使ったアプリをデプロイする際のWorkaround,3
771,java-llama.cppを使ってローカルLLMでテキスト生成する,3
789,Kubernetesのノードのディスク使用量を減らすメモ,3
830,Raspberry PiにMinecraft Server (Java Edition)をインストールするメモ,3
30,Clojureの関数にcondition-mapでPre・Postチェック,2
50,Spring Data Redis(1.0.0.M1)を試す,2
56,Mavenで作るEclipseプロジェクトの文字コード設定,2
61,これからJavaを勉強する人が読むと良い本,2
79,ダイクストラ法で単一始点最短経路計算,2
85,JVMのヒープ・GCチューニングまとめ,2
155,MacへTypeScriptインストールからjQueryでHello Worldまで,2
194,persistence.xmlを省略してLocalContainerEntityManagerFactoryBeanを使う際にorm.xmlを設定する方法,2
241,AWS CLIとjqを使ってRDSの特定のインスタンスをshellスクリプトで起動・停止させる,2
255,HTML5でファイルをドラッグ＆ドロップして画像を表示するサンプル,2
256,HTML5でクリップボードの画像をペーストするサンプル,2
261,既存のTomcatユーザーが1アプリ1組み込みサーバーなマイクロサービスアーキテクチャ時代に簡単に追いつく方法,2
263,スタンドアローンJSF2.2+PrimeFaces入門メモ,2
287,SpringMVC 4.1のProtocol Buffers対応を試す,2
303,海外のオススメJava系サイト33選,2
309,Browserify + Gulpでビルドしたソースコードをuglifyする,2
315,MessagePack + Spring MVC or JAX-RS(Jersery) on Spring Boot,2
319,Spring BootとOpenCV(JavaCV)で簡単画像処理サーバー 【Docker対応,2
354,How to use the TCP client provided by Spring Framework (Part 1/2),2
359,Cloud FoundryにSpring Boot/Java EEアプリケーションをデプロイしよう,2
375,Spring MVCの@DateTimeFormatで和暦パターンを扱う方法,2
380,はじめてのConcourse CI,2
400,Nexus RepositoryのDocker Registryを使ってオフラインでConcourse CIを使う,2
461,"Java用Validatorライブラリ""YAVI""(ヤヴァイ)の紹介",2
492,Spring Boot on Cloud FoundryからAmazon RDS / Cloud SQLへの通信を暗号化する,2
494,Reactorで返り値がMono<Void>の処理の後、引数をそのまま返すときのショートカット,2
502,Spring WebFlux.fnハンズオン - 3. YAVIによるValidationの実装,2
530,Let's Encryptの証明書をcert-managerとAzure DNSで発行しSpring Bootアプリに設定するメモ,2
628,Spring Boot 2.4で導入されたConfig Data APIをSpring Cloud Vaultで試す,2
655,VMware Tanzu SQL with Postgres for Kubernetes 1.2をインストールしてSpring Bootアプリからアクセスするメモ,2
