entryId,title,access
843,llama.cppでGemma 3 27Bを動かしてSpring AIからアクセスする (MCP連携あり),64
800,"JJUG CCC 2024 Springで""知名度は高くないけど便利なJavaライブラリ集""について話してきました。",62
443,誤解しがちなThreadPoolTaskExecutorの設定,26
648,YAVIのArguments Validatorについて,26
763,Spring Securityで2要素認証 (2FA) を行う方法,20
818,Spring BootでJWT認証・認可の設定メモ,20
757,Spring Securityでログイン時にパスワードハッシュアルゴリズムを変更する方法,19
820,Spring BootでMicrosoft Entra ID(旧Azure AD)とSAML2連携してログインするメモ,19
844,PatroniをサポートしたTanzu for Postgres on Kubernetes 4.0をインストールしてSpring Bootアプリからアクセスするメモ,17
803,OllamaをOpenAI互換サーバーとして使用し、Spring AIからアクセスする,16
467,SpringのWebClientのtimeoutとretryについて,15
656,Thymeleafテンプレートを使ってJdbcTemplateで動的なSQLを実行する,15
816,Spring BootでmTLS(Mutual TLS)の設定メモ,14
376,Spring Bootの@ ConfigurationPropertiesで型安全なプロパティ設定,13
770,llama-cpp-pythonを使ってローカルLLMでテキスト生成とOpenAI互換サーバーを立てる,13
461,"Java用Validatorライブラリ""YAVI""(ヤヴァイ)の紹介",11
377,SpringのBean定義(Java Config)で型が重複する場合のインジェクション方法,10
115,Log4JDBCでSQLログを出力する,9
739,SpringのRestTemplateによるHTTPリクエストのリトライをClientHttpRequestInterceptorで実装する,8
746,Docker Desktop for Mac代替のOrbStackがすごい,8
752,Spring Bootを使わずEmbedded TomcatでWebMvc.fnを使う,8
685,VMware Spring Cloud® Data Flow for Kubernetes 1.4をAKSにインストールするメモ,6
792,HTTP/3に対応したcurlをHomebrewでインストールするメモ,6
812,SDKを使わずにSpringのRestTemplate/RestClientを使ってS3 APIにアクセスする,6
148,ThymeLeafでjavascriptにcontextPathを設定する,5
180,Mavenプロジェクトを普通のWTPプロジェクトに変換してAntのbuild.xmlの作成するスクリプト,5
408,Spring Batch + Spring Bootで複数DataSourceを扱うときの設定,5
745,Spring IntegrationでPollingベースのOutboxパターンを実装する,5
758,JupyterでJava Kernelを使うメモ,5
771,java-llama.cppを使ってローカルLLMでテキスト生成する,5
790,llama-cpp-pythonを使ってLlama 3モデルを使ったOpenAI互換サーバーを起動しSpring AIからアクセスする,5
819,Spring BootでIAM Identity Center(旧AWS SSO)とSAML2連携してログインするメモ,5
371,Spring Boot + Doma2を使おう,4
417,はじめてのSpring WebFlux (その1 - Spring WebFluxを試す),4
540,自己署名証明書(オレオレ証明書)をMacで信頼させるメモ,4
749,Spring 6.1でYAVIがSpring MVCの@Valid/Validatedで使いやすくなった,4
756,Tanzu Application Platformでtype=serverのWorkloadに対してIngressを作る,4
827,OpenTelemetry Java Agentを使ってTomcat上のLegacyなServletアプリをTracingするメモ,4
130,Hyper-VへのCentOSインストールメモ,3
138,Javaのソースコードレビュー観点をまとめてみた,3
276,KeyStoreに保存した秘密鍵を使って Spring Boot アプリに渡すパスワードを暗号化する,3
632,SpringのWebClientのHTTP Request/Responseログを出力するメモ,3
645,YAVIでValue ObjectのValidation (Records対応),3
654,Tanzu Kubernetes Gridインストール後にPinnipedを有効にする,3
695,Spring Framework 6から導入される宣言的HTTP Clientを試す,3
761,Tanzu Kubernetes GridのPrometheus Packageでremote-write-receiverとagent modeをセットアップして複数のKubernetesクラスタを監視する,3
799,Wavefront ProxyをUbuntu Jammyにインストールするメモ,3
825,"JJUG CCC 2024 Fallで""最近のSpring Bootの 便利機能を復習！""について話してきました。",3
826,Macセットアップメモ (Apple M4 Max),3
828,llama-cppのOpenAI互換サーバー機能を使ってSpring AIからアクセスする,3
833,Raspberry PiにGeyserMC (Standalone)をインストールするメモ,3
838,llama.cppでDeepSeek-R1-Distill-Qwen-32B-Japaneseを動かしてSpring AIからアクセスする,3
